dvm_edit,address_final,address_split?,subtotal,actual00,actual01,actual02,actual03,actual04,actual05,actual06,actual07,actual08,actual09,actual10,actual11,actual12,actual13,actual14,actual15,actual16,actual17,actual18
Jane Addams Homes,1261 W Cabrini St,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,1269 W Cabrini St,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,1300 W Taylor St,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,1313-1317 W Grenshaw St,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,1321-1341 W Grenshaw St,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,822 S Lytle St,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,829 S Ada St,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,844 S Lytle St,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,844 S Racine Av,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,845 S Ada St,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,847 S Lytle St,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,860 S Lytle St,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,901 S Ada St,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,902 S Ada St,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,907 S Lytle St,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,916 S Lytle St,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Jane Addams Homes,918-928 S Lytle St,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
Lawndale Complex,1319 S Washtenaw Av,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawndale Complex,1325 S Washtenaw Av,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawndale Complex,1331 S Washtenaw Av,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawndale Complex,2635 W 12th Pl,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawndale Complex,2641 W 12th Pl,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawndale Complex,2647 W 12th Pl,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LeClaire Courts,4230-4240 S Cicero Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LeClaire Courts,4244-4254 S Cicero Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LeClaire Courts,4300-4306 S Cicero Av,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
LeClaire Courts,4300-4310 S Lamon Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LeClaire Courts,4300-4310 S Laporte Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LeClaire Courts,4301-4307 S Lamon Av,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
LeClaire Courts,4301-4311 S Laporte Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LeClaire Courts,4310-4312 S Cicero Av,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LeClaire Courts,4311-4313 S Lamon Av,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LeClaire Courts,4312-4322 S Lamon Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LeClaire Courts,4312-4322 S Laporte Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LeClaire Courts,4313-4323 S Laporte Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LeClaire Courts,4316-4322 S Cicero Av,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
LeClaire Courts,4317-4323 S Lamon Av,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
LeClaire Courts,4325-4327 S Laporte Av,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LeClaire Courts,4325-4339 S Lamon Av,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
LeClaire Courts,4326-4332 S Lamon Av,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
LeClaire Courts,4326-4336 S Cicero Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LeClaire Courts,4329-4339 S Laporte Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LeClaire Courts,4340-4350 S Cicero Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LeClaire Courts,4343-4353 S Lamon Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LeClaire Courts,4344-4346 S Lamon Av,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LeClaire Courts,4350-4360 S Lamon Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LeClaire Courts,4355-4369 S Lamon Av,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
LeClaire Courts,4364-4374 S Lamon Av,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
